,Pclass,Age,Parch,Fare,relatives,sex_female,sex_male,alone_No,alone_Yes,emb_C,emb_Q,emb_S,deck_0,deck_1,deck_2,deck_3,deck_4,deck_5,deck_6,deck_7,deck_8
21,2,34,0,13,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
22,3,15,0,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
23,1,28,0,35,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
24,3,8,1,21,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
25,3,38,5,31,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
26,3,39,0,7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
27,1,19,2,263,5,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
28,3,35,0,7,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
29,3,40,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
30,1,40,0,27,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
31,1,20,0,146,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
32,3,16,0,7,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
33,2,66,0,10,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
34,1,28,0,82,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
35,1,42,0,52,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
36,3,28,0,7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
37,3,21,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
38,3,18,0,18,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
39,3,14,0,11,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
40,3,40,0,9,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
41,2,27,0,21,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
42,3,33,0,7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
43,2,3,2,41,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
44,3,19,0,7,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
45,3,34,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
46,3,28,0,15,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
47,3,22,0,7,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
48,3,33,0,21,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
49,3,18,0,17,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
50,3,7,1,39,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
51,3,21,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
52,1,49,0,76,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
53,2,29,0,26,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
54,1,65,1,61,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
55,1,23,0,35,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
56,2,21,0,10,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
57,3,28,0,7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
58,2,5,2,27,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
59,3,11,2,46,7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
60,3,22,0,7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
61,1,38,0,80,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
62,1,45,0,83,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
63,3,4,2,27,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
64,1,35,0,27,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
65,3,16,1,15,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
66,2,29,0,10,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
67,3,19,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
68,3,17,2,7,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
69,3,26,0,8,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
70,2,32,0,10,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
71,3,16,2,46,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
72,2,21,0,73,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
73,3,26,0,14,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
74,3,32,0,56,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
75,3,25,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
76,3,24,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
77,3,42,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
78,2,0,2,29,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
79,3,30,0,12,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
80,3,22,0,9,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
81,3,29,0,9,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
82,3,26,0,7,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
83,1,28,0,47,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
84,2,17,0,10,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
85,3,33,0,15,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
86,3,16,3,34,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
87,3,25,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
88,1,23,2,263,5,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
89,3,24,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
90,3,29,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
91,3,20,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
92,1,46,0,61,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
93,3,26,2,20,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
94,3,59,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
95,3,39,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
96,1,71,0,34,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
97,1,23,1,63,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
98,2,34,1,23,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
99,2,34,0,26,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
100,3,28,0,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
101,3,37,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
102,1,21,1,77,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
103,3,33,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
104,3,37,0,7,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
105,3,28,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
106,3,21,0,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
107,3,39,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
108,3,38,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
109,3,17,0,24,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
110,1,47,0,52,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
111,3,14,0,14,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
112,3,22,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
113,3,20,0,9,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
114,3,17,0,14,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
115,3,21,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
116,3,70,0,7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
117,2,29,0,21,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
118,1,24,1,247,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
119,3,2,2,31,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
120,2,21,0,73,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
121,3,16,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
122,2,32,0,30,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
123,2,32,0,13,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
124,1,54,1,77,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
125,3,12,0,11,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
126,3,33,0,7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
127,3,24,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
128,3,19,1,22,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
129,3,45,0,6,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
130,3,33,0,7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
131,3,20,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
132,3,47,0,14,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
133,2,29,0,26,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
134,2,25,0,13,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
135,2,23,0,15,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
136,1,19,2,26,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
137,1,37,0,53,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
138,3,16,0,9,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
139,1,24,0,79,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
140,3,24,2,15,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
141,3,22,0,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
142,3,24,0,15,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
143,3,19,0,6,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
144,2,18,0,11,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
145,2,19,1,36,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
146,3,27,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
147,3,9,2,34,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
148,2,36,2,26,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
149,2,42,0,13,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
150,2,51,0,12,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
151,1,22,0,66,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
152,3,55,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
153,3,40,2,14,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
154,3,32,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
155,1,51,1,61,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
156,3,16,0,7,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
157,3,30,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
158,3,15,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
159,3,29,2,69,10,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
160,3,44,1,16,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
161,2,40,0,15,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
162,3,26,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
163,3,17,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
164,3,1,1,39,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
165,3,9,2,20,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
166,1,40,1,55,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
167,3,45,4,27,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
168,1,37,0,25,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
169,3,28,0,56,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
170,1,61,0,33,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
171,3,4,1,29,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
172,3,1,1,11,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
173,3,21,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
174,1,56,0,30,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
175,3,18,1,7,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
176,3,23,1,25,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
177,1,50,0,28,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
178,2,30,0,13,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
179,3,36,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
180,3,40,2,69,10,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
181,2,15,0,15,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
182,3,9,2,31,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
183,2,1,1,39,3,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
184,3,4,2,22,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
185,1,29,0,50,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
186,3,23,0,15,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
187,1,45,0,26,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
188,3,40,1,15,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
189,3,36,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
190,2,32,0,13,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
191,2,19,0,13,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
192,3,19,0,7,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
193,2,3,1,26,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
194,1,44,0,27,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
195,1,58,0,146,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
196,3,37,0,7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
197,3,42,1,8,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
198,3,22,0,7,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
199,2,24,0,13,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
200,3,28,0,9,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
201,3,26,2,69,10,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
202,3,34,0,6,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
203,3,45,0,7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
204,3,18,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
205,3,2,1,10,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
206,3,32,0,15,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
207,3,26,0,18,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
208,3,16,0,7,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
209,1,40,0,31,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
210,3,24,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
211,2,35,0,21,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
212,3,22,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
213,2,30,0,13,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
214,3,35,0,7,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
215,1,31,0,113,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
216,3,27,0,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
217,2,42,0,27,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
218,1,32,0,76,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
219,2,30,0,10,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
220,3,16,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
221,2,27,0,13,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
222,3,51,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
223,3,27,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
224,1,38,0,90,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
225,3,22,0,9,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
226,2,19,0,10,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
227,3,20,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
228,2,18,0,13,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
229,3,22,1,25,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
230,1,35,0,83,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
231,3,29,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
232,2,59,0,13,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
233,3,5,2,31,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
234,2,24,0,10,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
235,3,19,0,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
236,2,44,0,26,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
237,2,8,2,26,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
238,2,19,0,10,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
239,2,33,0,12,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
240,3,16,0,14,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
241,3,37,0,15,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
242,2,29,0,10,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
243,3,22,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
244,3,30,0,7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
245,1,44,0,90,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
246,3,25,0,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
247,2,24,2,14,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
248,1,37,1,52,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
249,2,54,0,26,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
250,3,43,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
251,3,29,1,10,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
252,1,62,0,26,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
253,3,30,0,16,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
254,3,41,2,20,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
255,3,29,2,15,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
256,1,23,0,79,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
257,1,30,0,86,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
258,1,35,0,512,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
259,2,50,1,26,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
260,3,39,0,7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
261,3,3,2,31,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
262,1,52,1,79,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
263,1,40,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
264,3,42,0,7,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
265,2,36,0,10,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
266,3,16,1,39,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
267,3,25,0,7,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
268,1,58,1,153,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
269,1,35,0,135,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
270,1,29,0,31,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
271,3,25,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
272,2,41,1,19,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
273,1,37,1,29,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
274,3,35,0,7,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
275,1,63,0,77,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
276,3,45,0,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
277,2,30,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
278,3,7,1,29,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
279,3,35,1,20,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
280,3,65,0,7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
281,3,28,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
282,3,16,0,9,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
283,3,19,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
284,1,35,0,26,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
285,3,33,0,8,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
286,3,30,0,9,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
287,3,22,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
288,2,42,0,13,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
289,3,22,0,7,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
290,1,26,0,78,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
291,1,19,0,91,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
292,2,36,0,12,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
293,3,24,0,8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
294,3,24,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
295,1,40,0,27,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
296,3,23,0,7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
297,1,2,2,151,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
298,1,35,0,30,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
299,1,50,1,247,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
300,3,36,0,7,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
301,3,16,0,23,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
302,3,19,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
303,2,20,0,12,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
304,3,38,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
305,1,0,2,151,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
306,1,43,0,110,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
307,1,17,0,108,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
308,2,30,0,24,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
309,1,30,0,56,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
310,1,24,0,83,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
311,1,18,2,262,4,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
312,2,26,1,26,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
